state,date,max_temp,mean_temp,min_temp,mean_humidity,mean_wind,total_rain,mean_pressure,peak_demand,mean_demand,mean_price
NSW1,2000-01-01,20.8,18.13695652173913,14.8,65.71739130434783,0.0,0.2,1013.1282608695652,6763.57,5720.094290851064,11.607872340425534
NSW1,2000-01-02,19.5,17.975510204081633,16.4,85.59183673469387,0.0,18.8,1017.526530612245,6650.00333,5918.343333333333,11.974375
NSW1,2000-01-03,23.3,20.289583333333333,16.4,76.77083333333333,0.0,19.6,1016.5791666666668,6936.195,6234.452950625,12.225833333333334
NSW1,2000-01-04,30.2,24.833333333333332,19.2,59.104166666666664,0.0,0.2,1008.6916666666666,8286.735,7196.844652916666,14.727708333333332
NSW1,2000-01-05,24.9,20.891666666666666,17.3,45.104166666666664,0.0,0.0,1010.2104166666667,7932.49167,7076.017153333333,14.980625000000002
NSW1,2000-01-06,22.6,19.472340425531915,16.2,52.851063829787236,0.0,0.0,1013.0914893617022,7903.02,7032.526042291666,14.622708333333334
NSW1,2000-01-07,20.8,18.597916666666666,17.3,64.6875,0.0,0.0,1015.5520833333334,7838.035,6991.333333125,14.144375000000002
NSW1,2000-01-08,22.3,19.514583333333334,16.8,75.52083333333333,0.0,0.6,1018.5979166666666,7326.675,6465.290312291666,14.268749999999999
NSW1,2000-01-09,22.1,19.508333333333333,17.1,74.79166666666667,0.0,1.4,1017.3916666666668,6904.455,6201.937360416666,13.589791666666668
NSW1,2000-01-10,23.2,20.472916666666666,17.1,67.70833333333333,0.0,0.8,1017.0041666666666,8350.15167,7281.8110414583325,24.33583333333333
NSW1,2000-01-11,23.7,20.40625,17.0,69.8125,0.0,0.8,1019.3041666666667,8410.76167,7430.825347291667,36.871874999999996
NSW1,2000-01-12,23.8,20.825,18.3,70.4375,0.0,4.6,1021.3395833333334,8393.52333,7449.387534166667,35.730624999999996
NSW1,2000-01-13,23.9,21.041666666666668,18.7,68.97916666666667,0.0,1.2,1019.8562499999999,8417.53167,7450.238194375001,54.683125
NSW1,2000-01-14,24.5,21.002083333333335,17.1,76.52083333333333,0.0,0.2,1017.8416666666667,8597.65833,7507.108576250001,63.84041666666667
NSW1,2000-01-15,25.0,22.147916666666664,18.5,77.97916666666667,0.0,0.2,1016.1020833333333,7862.43,6931.633680416667,27.985833333333332
NSW1,2000-01-16,26.1,22.58125,19.6,79.95833333333333,0.0,0.2,1013.3666666666667,7483.17333,6724.800416875,21.865
NSW1,2000-01-17,22.5,20.758333333333333,19.8,80.91666666666667,0.0,4.8,1015.88125,8930.05167,7696.198507291666,19.793333333333333
NSW1,2000-01-18,24.2,20.929166666666667,17.8,66.60416666666667,0.0,0.2,1016.0875,9108.5,7890.396492916666,31.356041666666666
NSW1,2000-01-19,30.4,23.68541666666667,19.8,73.02083333333333,0.0,0.0,1004.3416666666667,10404.95167,8394.698923333333,32.951875
NSW1,2000-01-20,34.7,24.735416666666666,18.7,62.854166666666664,0.0,0.0,1001.8166666666666,10341.97833,8560.2939225,37.54208333333333
NSW1,2000-01-21,32.3,24.732608695652175,20.6,61.608695652173914,0.0,0.0,1002.3822222222221,9771.44333,8285.229687083332,24.89625
NSW1,2000-01-22,26.2,21.6125,19.4,67.72916666666667,,0.0,1006.1125000000001,7916.64333,6964.688576666666,24.09958333333333
NSW1,2000-01-23,21.5,19.120833333333334,16.4,57.6875,,0.0,1011.375,7042.21833,6387.470347291666,28.719583333333333
NSW1,2000-01-24,22.4,18.875,16.4,55.041666666666664,,0.0,1019.4979166666667,8519.51,7405.9851733333335,20.4925
NSW1,2000-01-25,22.2,19.4875,16.6,72.375,,0.0,1017.71875,8577.07167,7563.018055416666,22.231041666666666
NSW1,2000-01-26,25.9,21.647916666666664,19.1,76.75,,0.0,1010.3791666666666,7510.115,6843.079479166667,26.428124999999998
NSW1,2000-01-27,24.1,21.925,20.7,84.625,,0.2,1003.0375,8952.595,7730.5127087500005,25.242500000000003
NSW1,2000-01-28,24.7,21.37291666666667,19.2,67.91666666666667,,0.2,1006.9291666666667,8760.34833,7585.197916875,20.832708333333333
NSW1,2000-01-29,23.3,20.71875,18.7,61.1875,,0.0,1012.3270833333332,7668.39667,6756.465625624999,22.040833333333335
NSW1,2000-01-30,22.2,19.502083333333335,17.0,67.375,,0.0,1017.4958333333334,7187.34,6470.435972291667,20.135416666666668
NSW1,2000-01-31,24.2,21.302083333333332,18.6,66.77083333333333,,0.0,1017.3666666666667,8579.72167,7581.5943612500005,25.822708333333335
NSW1,2000-02-01,26.3,22.629166666666666,19.5,74.20833333333333,,2.2,1019.6166666666667,9010.51333,7933.952048541666,36.93020833333333
NSW1,2000-02-02,26.5,22.9875,19.2,69.91666666666667,,0.0,1023.4895833333334,9528.24833,8145.3553475,347.5664583333333
NSW1,2000-02-03,27.3,23.26875,19.4,67.5625,,0.0,1021.5729166666666,9828.915,8300.761528125,149.64875
NSW1,2000-02-04,28.9,23.991666666666664,20.0,68.04166666666667,,0.0,1016.9729166666666,10214.85667,8500.647673333333,50.93479166666666
NSW1,2000-02-05,32.1,25.647916666666664,20.5,66.22916666666667,,0.0,1012.8020833333334,9138.73,7899.576527708334,48.255833333333335
NSW1,2000-02-06,24.6,21.895833333333332,20.5,73.5,,0.0,1022.7208333333333,7502.97667,6794.839964791667,22.299166666666665
NSW1,2000-02-07,27.4,22.87291666666667,19.4,79.5,,2.0,1025.8166666666666,9668.905,8128.430937083333,28.59875
NSW1,2000-02-08,28.2,24.212500000000002,20.4,72.16666666666667,,0.0,1022.9979166666667,10157.69667,8471.927117916666,36.790416666666665
NSW1,2000-02-09,30.2,25.054166666666664,21.0,69.9375,,0.0,1018.2270833333333,10661.65667,8681.117709166667,52.40145833333333
NSW1,2000-02-10,29.1,24.289583333333336,21.0,74.29166666666667,,0.0,1014.9604166666667,10531.54,8743.380346666667,72.880625
NSW1,2000-02-11,32.9,25.650000000000002,20.9,67.27083333333333,,0.0,1010.5875,10422.02,8669.116457916667,30.039375000000003
NSW1,2000-02-12,27.2,22.995652173913044,19.4,79.67391304347827,,11.0,1010.8608695652174,8114.56333,7198.287083541666,20.079375000000002
NSW1,2000-02-13,22.6,20.147916666666667,18.6,60.395833333333336,,11.4,1020.75625,7183.2,6455.9899993750005,12.960625
NSW1,2000-02-14,22.6,19.471739130434784,16.4,60.34782608695652,,0.8,1022.3456521739131,8510.06667,7411.098506666666,14.685625
NSW1,2000-02-15,23.1,19.7468085106383,16.7,73.29787234042553,,0.6,1018.6212765957446,8600.76333,7636.106492916667,15.453125
NSW1,2000-02-16,26.4,21.420833333333334,16.8,71.33333333333333,,0.0,1017.1333333333333,8953.35,7820.96691,25.64708333333333
NSW1,2000-02-17,27.6,22.631249999999998,17.9,69.22916666666667,,0.0,1019.2354166666668,9293.05333,7997.60760375,31.59125
NSW1,2000-02-18,26.8,22.51489361702128,18.4,71.2127659574468,,0.0,1019.831914893617,9211.48,7979.472326041666,32.03625
NSW1,2000-02-19,26.8,22.664583333333336,18.3,71.5,,0.0,1014.9333333333334,8082.60833,7236.44267375,41.62645833333333
NSW1,2000-02-20,31.0,23.941666666666666,19.6,67.14583333333333,,0.0,1009.5145833333332,7928.79333,6835.587117708333,22.089583333333334
NSW1,2000-02-21,28.0,24.02916666666667,20.7,69.60416666666667,,0.0,1013.9083333333333,9453.73333,8017.220659583333,33.772708333333334
NSW1,2000-02-22,26.5,23.602083333333336,22.0,69.25,,0.0,1014.8604166666668,9122.76333,7991.489687291666,25.048333333333332
NSW1,2000-02-23,27.8,24.102083333333336,21.4,68.89583333333333,,0.2,1015.00625,9393.72,8096.221909791667,27.446875000000002
NSW1,2000-02-24,26.7,23.72391304347826,20.9,74.84782608695652,,0.2,1018.9826086956521,9716.18667,8280.990277916668,77.88916666666667
NSW1,2000-02-25,27.6,23.972916666666666,21.2,73.375,,0.0,1019.4166666666666,9515.73167,8171.12263875,44.48979166666666
NSW1,2000-02-26,27.9,23.84583333333333,19.3,67.72916666666667,,0.0,1016.2875,8443.54667,7426.226770833334,32.031875
NSW1,2000-02-27,23.0,21.37708333333333,20.0,81.41666666666667,,0.6,1021.5375,7419.51667,6697.239999583333,15.372708333333334
NSW1,2000-02-28,27.9,22.733333333333334,19.0,76.85416666666667,,0.8,1022.3416666666667,9313.84333,7888.9520497916665,21.699791666666666
NSW1,2000-02-29,27.1,22.291666666666668,19.4,80.95833333333333,,1.6,1020.9479166666666,9145.03333,8001.003923958334,24.149375000000003
NSW1,2000-03-01,27.3,22.902083333333334,19.7,73.39583333333333,,1.6,1020.3854166666666,9348.61333,8031.843438541667,42.01083333333333
NSW1,2000-03-02,27.0,22.391666666666666,18.2,74.14583333333333,,0.2,1019.4479166666666,9496.49,8131.563644999999,68.935625
NSW1,2000-03-03,27.5,23.379166666666666,19.2,68.47916666666667,,0.0,1016.6,9862.83167,8264.6015625,44.41291666666667
NSW1,2000-03-04,26.2,21.222916666666666,19.3,79.91666666666667,,0.0,1015.4229166666668,8106.57,7093.654965833334,22.874791666666667
